	text	inappropriate	human_labeled	offline_crime	online_crime	drugs	gambling	pornography	prostitution	slavery	suicide	terrorism	weapons	body_shaming	health_shaming	politics	racism	religion	sexual_minorities	sexism	social_injustice	none	toxic_new
0	Наркокартелям теракты не выгодны. Чем больше в стране богатеньких туристов, употребляющих вещества для раслабона, тем больше прибыли.	 Наркократам теракты не выгодны. Чем больше в стране путешественников, употребляющих вещества для раслабона, тем больше прибыль.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0132895726710557
1	Совет твой нужен. Тут всё включено, алкашка тоже. Естественно... Берд пьёт. Чё с этим делать? Как прессовать здесь? Или не париться? Сегодня 4 день... и вчера общались, сказал, что сег пить не будет, но пиво же не алкоголь, как оказалось сегодня	 ваш нужен. Тут всё включено, цена тоже. Естественно... Берг работает. Что с этим делать? Как прессовать здесь? Или не париться? Сейчас 4 день... и, похоже, придется расстаться. Надеюсь, вы поняли, что я, дорогой, нужен. Надеюсь, вы поняли, что я, ваш дру	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3679382205009461
2	Да ваше чуток  дешевле там баб отыметь пачку .	 Да ваше чуток дороже там баб нанять.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3226868808269501
3	Люди, не обмазывающие фронтенд долгоживущим фреймворком, чтобы потом это нормально поддерживать, должны страдать	 Человеческий фактор не только не стимулирует развитие, но и мешает.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0658561661839485
4	Почему у лошадей такая аккуратненькая и красивая писечка?	 Почему у вас такая аккуратненькая и красивая ручка?	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.7483551502227783
5	Встроенный. Либо касперский, полная версия ключей в интернете полно.Но это лишний геморрой для параноиков, если что Сканера и встроенного по сути всегда хватать будет.	 Встроенный. Либо ваш специалист либо врач, полная версия ключей в интернете полно. Но это дополнительный геморрой для вас. Если что Сканера и встроенного по сути всегда хватать	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0361018739640712
6	У них вся так называемая власть - это шоу. Впрочем, как и у нас...	 У них вся такая власть - это шоу. Впрочем, как и у нас...	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.1891470402479172
7	хз читал на забугорских сайтах что именно мет разрывает	 читал на забугорских сайтах что именно мет разорвает. ошибался? 	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053004967048764
8	Кароче как я понял Татьяна это эскортница из русской провинции но её обманули и теперь держат в секс рабстве	 Кароче как я понял Татьяна это модель с Кавказа но её обманули и теперь держат в рабстве.	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6082346439361572
9	Мне 25 . Я помышлял. Прикинул все за и против и пошел пить пивко. Теперь я пивной алкоголик	 25. Я помышлял. Прикинул все за и против и решил пойти выпить. Теперь я алкоголик. Надеюсь, я понял,	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3756180703639984
